trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.4085}",30,14,-10.010130372999752,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.405}",20,10,-48.57107042264068,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.40149999999999997}",35,16,-27.37855408603219,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.398}",25,9,-23.932114407176613,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.39449999999999996}",25,5,-7.258501557567963,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.391}",30,12,-43.990487044920485,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.38749999999999996}",20,4,1.4875014943790512,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.384}",30,0,-21.834538160329124,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.38049999999999995}",25,8,-3.3101920224827364,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.377}",20,0,-31.49856599634414,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.37349999999999994}",35,0,-38.37709684705189,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.37}",20,8,-18.034639207773807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.36649999999999994}",20,0,-16.985223552747343,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.363}",25,3,15.288565708422611,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.35950000000000004}",20,7,-32.49983887414496,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.356}",20,0,18.529711531171213,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.35250000000000004}",25,0,-96.88403431749941,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
185,False,"{'a': 0.5, 'e': 0.349}",25,0,-46.86436561356889,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
186,False,"{'a': 0.5, 'e': 0.34550000000000003}",30,15,18.075998888216958,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
